0	0	0	0	0						
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
1	1									
0	0	0								
0	0	0								
0.5	0.5	0.5								
0	0	0								
1	1	1								
0	0	0								
0	0									
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0		0								
0	0	0								
0	0	0								
0.25	0	0.5								
0.1	0	0	0.5	0	0					
0.166667	0	0	0.5							
0	0	0								
0	0	0								
1	1	1								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0	0							
0.5	0.5	0.5								
0	0									
0	0	0								
0	0	0								
0.75	0.5	1								
1	1	1								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
										
										
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0									
0.75	1	0.5								
0	0	0								
0	0	0								
1	1	1								
0	0									
1	1	1								
0	0	0								
0	0	0								
0	0	0								
0	0									
0	0									
1	1	1								
0	0									
0.333333	0	0	1							
0		0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0.5	0.5	0.5								
0.857143	1	0.5	1	0.5	1	1	1			
0	0	0								
0	0	0	0							
0	0	0								
0	0	0								
										
0	0									
0	0	0								
1	1									
0	0	0								
0	0	0								
0	0	0								
0	0									
0	0									
0.5	0.5									
1	1	1								
1	1	1								
0		0								
0	0	0								
0	0	0								
0	0	0								
0	0	0	0							
0	0	0								
										
0	0	0								
0	0									
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
1	1	1								
0	0	0								
0	0	0								
0.25	0	0.5								
0.25	0.5	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0		0								
										
0	0	0								
0	0									
0	0	0								
0	0									
0	0	0								
0	0	0	0							
0	0	0								
0	0	0								
										
0		0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0.25	0	0.5								
0.583333	0	1	0.5	1	0		1			
0	0									
1	1	1								
1	1	1								
0	0	0								
0	0	0								
0.3125	0	0.5	0.5	0.5	0.5	0	0.5	0		
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0.333333	0	0	1							
0.25	0	0	0.5	0.5						
0	0	0								
0	0	0								
0	0	0								
0	0	0								
										
0	0	0								
										
0	0	0								
0	0	0								
0	0	0								
0	0	0								
0	0	0								
1	1	1								
0.25	0	0.5								
